63.80.144.0/20,"ASN 701"
63.80.160.0/23,"ASN 701"
63.80.163.0/24,"ASN 701"
63.80.164.0/22,"ASN 701"
63.80.168.0/21,"ASN 701"
63.80.176.0/20,"ASN 701"
63.80.192.0/22,"ASN 701"
63.80.196.0/23,"ASN 701"
63.80.199.0/24,"ASN 701"
63.80.200.0/23,"ASN 701"
63.80.203.0/24,"ASN 701"
63.80.204.0/22,"ASN 701"
63.80.208.0/22,"ASN 701"
63.80.212.0/23,"ASN 701"
63.80.214.0/24,"ASN 701"
63.80.216.0/21,"ASN 701"
63.80.224.0/19,"ASN 701"
63.81.0.0/19,"ASN 701"
63.81.32.0/20,"ASN 701"
63.81.48.0/24,"ASN 701"
63.81.50.0/23,"ASN 701"
63.81.52.0/22,"ASN 701"
63.81.56.0/21,"ASN 701"
63.81.64.0/19,"ASN 701"
63.81.96.0/21,"ASN 701"
63.81.104.0/22,"ASN 701"
63.81.110.0/23,"ASN 701"
63.81.112.0/21,"ASN 701"
63.81.120.0/22,"ASN 701"
63.81.124.0/23,"ASN 701"
63.81.127.0/24,"ASN 701"
63.81.128.0/17,"ASN 701"
63.82.8.0/21,"ASN 701"
63.82.16.0/20,"ASN 701"
63.82.32.0/19,"ASN 701"
63.82.64.0/19,"ASN 701"
63.82.96.0/21,"ASN 701"
63.82.104.0/22,"ASN 701"
63.82.109.0/24,"ASN 701"
63.82.110.0/23,"ASN 701"
63.82.112.0/20,"ASN 701"
63.82.128.0/23,"ASN 701"
63.82.131.0/24,"ASN 701"
63.82.132.0/22,"ASN 701"
63.82.136.0/21,"ASN 701"
63.82.144.0/20,"ASN 701"
63.82.160.0/19,"ASN 701"
63.82.192.0/18,"ASN 701"
63.83.0.0/17,"ASN 701"
63.83.128.0/18,"ASN 701"
63.83.192.0/21,"ASN 701"
63.83.200.0/23,"ASN 701"
63.83.203.0/24,"ASN 701"
63.83.204.0/22,"ASN 701"
63.83.208.0/20,"ASN 701"
63.83.224.0/19,"ASN 701"
63.84.0.0/21,"ASN 701"
63.84.8.0/24,"ASN 701"
63.84.10.0/23,"ASN 701"
63.84.12.0/22,"ASN 701"
