1.71.0.0/20,"Blocked AS142404"
125.75.64.0/24,"Blocked AS141998"
125.75.66.0/23,"Blocked AS141998"
125.75.68.0/23,"Blocked AS141998"
125.75.96.0/23,"Blocked AS141998"
125.75.98.0/24,"Blocked AS141998"
125.75.100.0/22,"Blocked AS141998"
125.75.104.0/21,"Blocked AS141998"
125.75.148.0/22,"Blocked AS141998"
125.76.80.0/22,"Blocked AS141998"
125.80.192.0/19,"Blocked AS141739"
125.85.64.0/18,"Blocked AS141739"
125.85.128.0/19,"Blocked AS141739"
171.105.16.0/20,"Blocked AS138169"
171.105.56.0/21,"Blocked AS138169"
171.105.184.0/21,"Blocked AS138169"
171.111.192.0/21,"Blocked AS138169"
171.111.216.0/21,"Blocked AS138169"
171.115.220.0/22,"Blocked AS148981"
180.97.176.0/23,"Blocked AS146966"
180.97.191.0/24,"Blocked AS146966"
180.119.140.0/23,"Blocked AS146966"
180.138.248.0/23,"Blocked AS138169"
180.184.8.0/23,"Blocked AS58539"
182.18.32.0/19,"Blocked AS141771"
182.18.80.0/20,"Blocked AS141771"
182.18.96.0/19,"Blocked AS141771"
183.162.226.0/23,"Blocked AS134425"
202.100.73.0/24,"Blocked AS141998"
202.100.74.0/24,"Blocked AS141998"
202.100.79.0/24,"Blocked AS141998"
202.111.123.0/24,"Blocked AS146966"
218.77.126.0/24,"Blocked AS149979"
218.91.113.0/24,"Blocked AS146966"
218.91.114.0/24,"Blocked AS146966"
219.148.96.0/21,"Blocked AS140903"
219.148.104.0/22,"Blocked AS141771"
219.148.136.0/21,"Blocked AS140903"
219.148.148.0/22,"Blocked AS140903"
219.159.248.0/24,"Blocked AS138991"
221.229.0.0/24,"Blocked AS146966"
221.229.4.0/24,"Blocked AS146966"
221.229.38.0/24,"Blocked AS146966"
221.229.52.0/23,"Blocked AS146966"
221.229.68.0/24,"Blocked AS146966"
221.229.92.0/24,"Blocked AS146966"
221.229.99.0/24,"Blocked AS146966"
221.229.101.0/24,"Blocked AS146966"
221.229.103.0/24,"Blocked AS146966"
221.229.106.0/23,"Blocked AS146966"
222.189.172.0/23,"Blocked AS146966"
222.222.80.0/20,"Blocked AS140903"
222.222.128.0/18,"Blocked AS140903"
222.223.34.0/23,"Blocked AS140903"
222.223.96.0/21,"Blocked AS140903"
222.223.160.0/20,"Blocked AS141771"
222.246.140.0/22,"Blocked AS149979"
223.220.184.0/21,"Blocked AS132225"
223.221.52.0/24,"Blocked AS132225"
223.221.124.0/22,"Blocked AS132225"
223.242.32.0/20,"Blocked AS140527"
223.244.0.0/18,"Blocked AS149178"
223.247.64.0/20,"Blocked AS142608"
223.247.96.0/24,"Blocked AS134425"
223.247.102.0/24,"Blocked AS134425"
223.247.112.0/20,"Blocked AS132833"
223.247.142.0/23,"Blocked AS140527"
2403:a140:100::/40,"Blocked AS141771"
2405:1480:3000::/48,"Blocked AS141771"
240e:6:d012::/48,"Blocked AS142608"
240e:6:d020::/48,"Blocked AS140527"
240e:6:d120::/48,"Blocked AS132833"
240e:6:d130::/44,"Blocked AS140083"
240e:6:d1a0::/44,"Blocked AS149178"
240e:c:1800::/37,"Blocked AS58539"
240e:c:3000::/37,"Blocked AS140903"
240e:c:6000::/37,"Blocked AS141771"
240e:c:7001::/48,"Blocked AS140903"
240e:13:8000::/37,"Blocked AS148969"
240e:13:8800::/37,"Blocked AS149837"
240e:1a:160::/44,"Blocked AS146966"
240e:1f:cd00::/40,"Blocked AS135089"
240e:1f:ce00::/40,"Blocked AS140056"
240e:4c:800::/37,"Blocked AS58539"
240e:4c:3000::/37,"Blocked AS140903"
240e:4c:6000::/37,"Blocked AS141771"
240e:4c:7001::/48,"Blocked AS140903"
240e:5e:10e0::/44,"Blocked AS140053"
240e:5e:e055::/48,"Blocked AS135089"
240e:5e:e075::/48,"Blocked AS135089"
240e:b0:8000::/34,"Blocked AS140903"
240e:b1:9800::/37,"Blocked AS58539"
240e:b1:b000::/37,"Blocked AS140903"
240e:b1:e000::/37,"Blocked AS141771"
240e:b2:a000::/35,"Blocked AS141771"
240e:105:f200::/40,"Blocked AS150145"
240e:106:a800::/39,"Blocked AS149979"
240e:108:1132::/47,"Blocked AS138991"
240e:108:1150::/48,"Blocked AS140527"
240e:108:1153::/48,"Blocked AS149178"
240e:108:1154::/48,"Blocked AS149178"
240e:108:11e6::/48,"Blocked AS135089"
240e:250:2800::/40,"Blocked AS138991"
240e:250:2a00::/40,"Blocked AS138169"
